id;province_type;R;G;B;x;y;province_terrain
PRV000001;lake;37;131;175;1231.82;219.37;lakes
PRV000002;lake;67;106;110;1191.55;204.51;lakes
PRV000003;lake;64;88;117;1184.0;210.12;lakes
PRV000004;lake;58;174;188;1180.0;212.0;lakes
PRV000005;lake;53;160;102;2104.56;332.86;lakes
PRV000006;lake;35;133;151;929.94;399.92;lakes
PRV000007;lake;75;142;168;1151.83;468.78;lakes
PRV000008;lake;57;112;123;1362.49;524.1;lakes
PRV000009;lake;33;167;196;1143.0;501.0;lakes
PRV000010;lake;62;175;126;1144.0;502.5;lakes
PRV000011;lake;10;92;179;1145.0;504.0;lakes
PRV000012;lake;49;105;197;1146.0;505.0;lakes
PRV000013;lake;71;166;181;1147.0;506.0;lakes
PRV000014;lake;12;163;165;1494.59;962.71;lakes
PRV000015;lake;74;149;170;2277.0;1001.0;lakes
PRV000016;lake;43;136;182;2274.33;1004.17;lakes
PRV000017;lake;59;164;110;2245.0;1007.0;lakes
PRV000018;lake;71;119;121;2266.77;1021.45;lakes
PRV000019;lake;47;122;135;2268.0;1008.0;lakes
PRV000020;lake;71;108;126;2412.87;1180.83;lakes
PRV000021;lake;24;158;138;2443.7;1199.18;lakes
PRV000022;lake;61;116;165;2436.0;1201.5;lakes
PRV000023;lake;2;149;142;2452.27;1218.56;lakes
PRV000024;land;97;84;192;1065.72;603.5;mountain
PRV000025;land;129;41;218;1119.79;579.01;mountain
PRV000026;land;220;125;141;1099.8;559.79;hills
PRV000027;land;0;178;54;1112.98;603.95;mountain
PRV000028;land;170;218;56;1103.61;592.05;mountain
PRV000029;land;239;12;153;1115.45;618.7;mountain
PRV000030;land;27;60;193;1076.83;587.38;mountain
PRV000031;land;140;231;126;1059.2;577.33;mountain
PRV000032;land;224;41;219;1120.09;555.4;mountain
PRV000033;land;225;113;97;1078.81;564.56;hills
PRV000034;land;16;1;30;1089.09;610.01;mountain
PRV000035;land;26;86;211;1094.95;579.98;mountain
PRV000036;land;98;46;108;517.06;285.8;plains
PRV000037;land;40;180;161;555.39;276.27;forest
PRV000038;land;63;124;82;575.13;254.63;forest
PRV000039;land;250;128;59;531.71;224.19;plains
PRV000040;land;143;186;5;487.36;291.65;urban
PRV000041;land;170;244;212;504.71;248.38;urban
PRV000042;land;22;198;167;559.15;385.0;plains
PRV000043;land;129;166;102;510.66;331.28;plains
PRV000044;land;170;31;209;589.02;297.58;forest
PRV000045;land;236;146;187;592.78;322.57;forest
PRV000046;land;128;231;56;582.23;360.04;plains
PRV000047;land;24;189;139;550.52;304.77;forest
PRV000048;land;33;99;127;557.17;333.1;plains
PRV000049;land;10;92;218;513.13;379.68;plains
PRV000050;land;200;201;182;2441.65;1317.81;hills
PRV000051;land;98;241;239;2386.79;1328.38;plains
PRV000052;land;246;157;65;2408.87;1431.01;plains
PRV000053;land;193;2;173;2443.58;1547.97;plains
PRV000054;land;79;56;77;2409.9;1324.53;hills
PRV000055;land;246;213;186;2445.72;1420.53;plains
PRV000056;land;93;185;101;2464.94;1321.01;hills
PRV000057;land;16;175;209;2393.11;1368.45;plains
PRV000058;land;130;79;145;2372.67;1409.86;plains
PRV000059;land;201;150;190;2352.43;1387.52;plains
PRV000060;land;44;83;100;2374.41;1368.04;plains
PRV000061;land;108;95;192;2421.32;1410.75;plains
PRV000062;land;114;155;145;2448.55;1444.67;plains
PRV000063;land;116;143;235;2405.84;1346.96;hills
PRV000064;land;130;241;220;2467.01;1408.34;hills
PRV000065;land;44;12;152;2401.44;1384.56;plains
PRV000066;land;241;236;65;2422.28;1486.85;plains
PRV000067;land;200;106;143;2422.4;1304.84;hills
PRV000068;land;124;123;139;2437.54;1276.88;hills
PRV000069;land;13;148;172;2396.49;1412.42;plains
PRV000070;land;165;97;82;2418.05;1390.23;plains
PRV000071;land;243;64;120;2434.41;1343.75;hills
PRV000072;land;243;214;153;2380.43;1390.98;plains
PRV000073;land;209;126;200;2448.94;1366.48;hills
PRV000074;land;50;228;95;2466.15;1286.74;hills
PRV000075;land;169;54;51;2420.3;1364.88;hills
PRV000076;land;144;206;120;2385.88;1348.2;plains
PRV000077;land;15;201;162;2469.06;1377.8;hills
PRV000078;land;187;107;48;2466.49;1347.53;hills
PRV000079;land;27;235;227;2470.01;1456.84;plains
PRV000080;land;232;188;0;2462.42;1234.22;hills
PRV000081;land;14;111;10;2424.24;1441.71;plains
PRV000082;land;183;255;167;2440.57;1388.37;hills
PRV000083;land;191;81;141;1119.03;7.96;forest
PRV000084;land;167;187;44;1186.61;24.54;forest
PRV000085;land;182;11;238;1126.67;29.67;forest
PRV000086;land;245;157;47;1110.74;47.5;forest
PRV000087;land;157;146;4;1104.47;28.21;forest
PRV000088;land;128;52;240;1144.38;33.92;forest
PRV000089;land;219;147;64;1180.3;8.35;forest
PRV000090;land;167;95;24;1155.02;11.01;forest
PRV000091;land;188;72;91;1088.33;48.77;forest
PRV000092;land;114;153;245;1162.87;34.35;forest
PRV000093;land;244;252;160;1065.31;671.18;mountain
PRV000094;land;11;61;249;1080.91;681.54;hills
PRV000095;land;115;138;14;1060.18;647.59;mountain
PRV000096;land;211;186;208;1079.01;655.86;mountain
PRV000097;land;35;172;24;1050.99;684.66;hills
PRV000098;land;85;241;188;1058.66;628.4;mountain
PRV000099;land;245;129;193;1047.1;663.1;mountain
PRV000100;land;196;213;31;1074.82;628.15;mountain
PRV000101;land;79;241;178;1093.12;633.74;mountain
PRV000102;land;113;40;138;1094.97;654.31;mountain
PRV000103;land;141;80;19;1277.6;616.54;mountain
PRV000104;land;180;214;87;1314.64;654.82;mountain
PRV000105;land;71;163;253;1299.89;642.99;mountain
PRV000106;land;140;251;110;1305.33;608.17;mountain
PRV000107;land;26;166;233;1348.26;637.55;mountain
PRV000108;land;1;219;244;1304.87;584.64;mountain
PRV000109;land;142;139;84;1291.62;654.94;mountain
PRV000110;land;153;238;162;1309.8;666.54;mountain
PRV000111;land;121;39;185;1356.18;611.16;hills
PRV000112;land;49;29;198;1275.98;642.17;mountain
PRV000113;land;73;18;194;1280.1;591.36;mountain
PRV000114;land;41;186;228;1329.94;647.64;mountain
PRV000115;land;160;179;62;1294.99;627.57;mountain
PRV000116;land;60;44;128;1337.07;590.1;mountain
PRV000117;land;33;224;69;1331.12;615.23;mountain
PRV000118;land;100;238;163;1317.92;631.63;mountain
PRV000119;land;109;244;152;1339.1;663.11;mountain
PRV000120;land;83;218;63;1690.24;1624.04;mountain
PRV000121;land;69;162;97;1663.82;1615.07;mountain
PRV000122;land;221;211;44;1652.4;1593.67;plains
PRV000123;land;3;174;151;1738.59;1604.73;mountain
PRV000124;land;225;201;212;1722.12;1621.01;mountain
PRV000125;land;115;218;26;1702.38;1602.08;mountain
PRV000126;land;77;1;23;1798.31;523.14;forest
PRV000127;land;130;15;154;1830.6;530.43;forest
PRV000128;land;181;168;188;1756.1;526.53;plains
PRV000129;land;142;98;47;1780.11;501.67;forest
PRV000130;land;185;116;94;1802.42;481.64;forest
PRV000131;land;119;165;78;1862.54;485.42;hills
PRV000132;land;219;36;40;1829.33;493.74;forest
PRV000133;land;133;249;10;1549.52;516.1;hills
PRV000134;land;200;247;104;1648.36;452.65;mountain
PRV000135;land;122;140;225;1586.21;514.92;plains
PRV000136;land;252;32;158;1552.61;468.9;mountain
PRV000137;land;125;219;60;1589.69;481.36;mountain
PRV000138;land;164;146;184;1566.81;493.44;hills
PRV000139;land;113;106;195;1617.97;494.49;plains
PRV000140;land;160;170;179;1662.38;443.2;mountain
PRV000141;land;100;188;193;1653.28;488.04;mountain
PRV000142;land;4;5;135;1624.52;451.85;mountain
PRV000143;land;236;105;172;1609.71;468.01;mountain
PRV000144;land;80;202;80;1636.66;473.19;mountain
PRV000145;land;134;153;15;1584.01;451.46;mountain
PRV000146;land;224;204;121;1940.74;748.52;plains
PRV000147;land;14;253;114;1895.2;736.17;plains
PRV000148;land;24;163;113;1925.98;705.99;plains
PRV000149;land;79;20;210;1908.62;703.31;plains
PRV000150;land;133;1;147;1931.77;725.73;plains
PRV000151;land;186;125;249;1912.55;726.36;plains
PRV000152;land;175;55;92;1890.38;717.89;plains
PRV000153;land;178;239;158;1952.82;759.39;plains
PRV000154;land;77;149;145;1906.87;752.98;plains
PRV000155;land;29;79;249;1924.59;745.32;plains
PRV000156;land;249;35;16;581.24;181.68;forest
PRV000157;land;9;67;215;592.91;138.35;forest
PRV000158;land;107;248;15;542.84;188.04;forest
PRV000159;land;224;207;111;551.6;146.7;forest
PRV000160;land;15;141;101;566.09;94.28;forest
PRV000161;land;253;119;154;526.61;118.0;forest
PRV000162;land;136;18;228;499.92;89.35;forest
PRV000163;land;114;206;11;535.78;74.53;forest
PRV000164;land;143;18;30;556.18;845.08;hills
PRV000165;land;149;118;226;594.09;817.52;plains
PRV000166;land;237;183;13;561.44;786.02;plains
PRV000167;land;196;29;254;601.52;856.23;hills
PRV000168;land;99;69;28;579.39;841.12;hills
PRV000169;land;231;121;141;567.65;803.01;plains
PRV000170;land;203;201;159;624.18;800.77;plains
PRV000171;land;204;26;182;546.07;813.92;plains
PRV000172;land;85;43;191;596.24;794.28;plains
PRV000173;land;213;17;190;566.93;824.83;hills
PRV000174;land;90;235;11;578.02;864.19;hills
PRV000175;land;191;144;10;621.18;838.29;plains
PRV000176;land;56;232;158;640.19;822.63;plains
PRV000177;land;176;124;94;601.0;837.36;plains
PRV000178;land;143;194;32;1193.34;610.61;hills
PRV000179;land;251;235;35;1203.56;588.64;mountain
PRV000180;land;61;147;146;1183.56;592.8;mountain
PRV000181;land;178;201;231;1179.05;628.84;hills
PRV000182;land;201;42;11;1163.49;624.16;mountain
PRV000183;land;248;243;230;1177.94;611.05;hills
PRV000184;land;92;4;83;1161.06;581.68;mountain
PRV000185;land;72;56;230;1169.13;560.48;mountain
PRV000186;land;2;140;12;1142.18;560.4;mountain
PRV000187;land;146;65;150;1139.96;611.36;mountain
PRV000188;land;109;24;232;1137.81;589.95;mountain
PRV000189;land;102;124;225;1197.43;560.33;mountain
PRV000190;land;77;136;10;1161.42;602.52;mountain
PRV000191;land;27;248;38;1190.6;575.61;mountain
PRV000192;land;211;168;11;489.05;943.87;mountain
PRV000193;land;161;129;213;541.72;969.2;mountain
PRV000194;land;240;221;59;516.16;956.56;mountain
PRV000195;land;67;8;42;521.64;983.26;mountain
PRV000196;land;65;225;91;472.27;973.82;mountain
PRV000197;land;239;239;214;489.26;971.66;mountain
PRV000198;land;102;204;232;457.03;981.3;mountain
PRV000199;land;108;172;233;471.06;953.67;mountain
PRV000200;land;9;165;60;503.76;980.11;mountain
PRV000201;land;76;253;34;564.47;974.98;mountain
PRV000202;land;47;88;109;75.88;247.49;plains
PRV000203;land;81;199;241;73.3;227.21;plains
PRV000204;land;189;137;229;24.95;214.78;plains
PRV000205;land;138;232;135;94.06;229.55;plains
PRV000206;land;137;220;178;42.77;214.62;plains
PRV000207;land;27;70;65;50.78;258.25;plains
PRV000208;land;228;244;216;92.37;203.33;plains
